compounds=6389  already_done=0  todo=6389
receptor=receptor.pdbqt  exhaustiveness_schedule=[8]  base_seed=42
workers=8  cpu/worker=2  (cpu_total=16)
[129/6389] BRD-K90065682-300-03-4 -5.97 (passes -5.97)                1.2s/lig ETA 130.3m
[130/6389] BRD-A73930134-001-02-2 -7.25 (passes -7.25)                1.2s/lig ETA 129.3m
[131/6389] BRD-K45437867-005-04-1 -5.31 (passes -5.31)                1.2s/lig ETA 128.4m
[132/6389] BRD-K60287130-001-06-5 -8.11 (passes -8.11)                1.2s/lig ETA 128.0m
[133/6389] BRD-K00656370-001-10-5 -10.04 (passes -10.04)              1.2s/lig ETA 128.2m
[134/6389] BRD-K30284967-001-01-8 -6.32 (passes -6.32)                1.2s/lig ETA 127.6m
[135/6389] BRD-K62929068-001-26-9 -7.88 (passes -7.88)                1.2s/lig ETA 127.9m
[136/6389] BRD-K00004681-001-01-9 -7.35 (passes -7.35)                1.2s/lig ETA 128.1m
[137/6389] BRD-K84924563-001-04-9 -5.32 (passes -5.32)                1.2s/lig ETA 128.1m
[138/6389] BRD-K34663752-001-10-9 -7.45 (passes -7.45)                1.2s/lig ETA 127.2m
[139/6389] BRD-K24603946-001-05-9 -7.17 (passes -7.17)                1.2s/lig ETA 127.5m
[140/6389] BRD-K84214706-001-06-5 -7.60 (passes -7.60)                1.2s/lig ETA 126.8m
[141/6389] BRD-K00004289-001-01-9 -9.30 (passes -9.30)                1.2s/lig ETA 125.9m
[142/6389] BRD-K48329353-001-03-9 -7.47 (passes -7.47)                1.2s/lig ETA 126.3m
[143/6389] BRD-K65377893-001-08-2 -7.06 (passes -7.06)                1.2s/lig ETA 126.5m
[144/6389] BRD-K01826780-004-09-9 -7.26 (passes -7.26)                1.2s/lig ETA 126.9m
[145/6389] BRD-K01825667-050-01-9 -7.79 (passes -7.79)                1.2s/lig ETA 127.1m
[146/6389] BRD-K07785030-001-01-6 -8.78 (passes -8.78)                1.2s/lig ETA 126.2m
[147/6389] BRD-K53156626-001-01-3 -8.19 (passes -8.19)                1.2s/lig ETA 125.5m
[148/6389] BRD-A32796301-001-01-6 -7.69 (passes -7.69)                1.2s/lig ETA 124.6m
[149/6389] BRD-K41592905-001-01-6 -6.31 (passes -6.31)                1.2s/lig ETA 123.8m
[150/6389] BRD-K45293975-001-02-0 -8.71 (passes -8.71)                1.2s/lig ETA 123.3m
[151/6389] BRD-K04430056-001-18-5 -6.68 (passes -6.68)                1.2s/lig ETA 123.1m
[152/6389] BRD-K49236613-001-03-9 -7.44 (passes -7.44)                1.2s/lig ETA 123.0m
[153/6389] BRD-K01826732-004-09-9 -7.59 (passes -7.59)                1.2s/lig ETA 123.5m
[154/6389] BRD-A07232941-001-03-5 -7.55 (passes -7.55)                1.2s/lig ETA 122.7m
[155/6389] BRD-K00535541-001-04-8 -8.35 (passes -8.35)                1.2s/lig ETA 121.9m
[156/6389] BRD-A00077618-236-08-9 -9.34 (passes -9.34)                1.2s/lig ETA 121.2m
[157/6389] BRD-A09554849-236-08-9 -9.70 (passes -9.70)                1.2s/lig ETA 120.7m
[158/6389] BRD-K77756533-001-01-4 -6.65 (passes -6.65)                1.2s/lig ETA 119.9m
[159/6389] BRD-K68552125-001-05-3 -6.27 (passes -6.27)                1.1s/lig ETA 119.2m
[160/6389] BRD-A60594020-034-01-1 -8.05 (passes -8.05)                1.1s/lig ETA 118.7m
[161/6389] BRD-K62607075-001-04-9 -8.99 (passes -8.99)                1.1s/lig ETA 118.6m
[162/6389] BRD-K09291936-001-13-3 -8.50 (passes -8.50)                1.2s/lig ETA 119.4m
[163/6389] BRD-K70329400-001-02-5 -10.43 (passes -10.43)              1.2s/lig ETA 119.9m
[164/6389] BRD-K00005339-001-01-9 -9.26 (passes -9.26)                1.1s/lig ETA 119.2m
[165/6389] BRD-K62066682-300-02-9 -8.73 (passes -8.73)                1.2s/lig ETA 119.7m
[166/6389] BRD-K13223831-003-01-7 -8.84 (passes -8.84)                1.1s/lig ETA 119.2m
[167/6389] BRD-K06182768-001-06-4 -8.12 (passes -8.12)                1.1s/lig ETA 118.8m
[168/6389] BRD-K59060513-001-02-5 -10.68 (passes -10.68)              1.1s/lig ETA 118.3m
[169/6389] BRD-K79743788-001-01-2 -9.29 (passes -9.29)                1.1s/lig ETA 117.8m
[170/6389] BRD-K00004225-004-01-9 -8.80 (passes -8.80)                1.1s/lig ETA 118.9m
[171/6389] BRD-A40302156-001-01-9 -6.79 (passes -6.79)                1.1s/lig ETA 118.5m
[172/6389] BRD-K41918892-001-06-7 -10.19 (passes -10.19)              1.1s/lig ETA 118.4m
[173/6389] BRD-K28570407-001-04-6 -8.60 (passes -8.60)                1.2s/lig ETA 121.3m
[174/6389] BRD-K94313941-001-03-9 -8.64 (passes -8.64)                1.2s/lig ETA 120.6m
[175/6389] BRD-K78177893-003-03-9 -8.54 (passes -8.54)                1.2s/lig ETA 120.6m
[176/6389] BRD-K87665527-001-01-3 -9.85 (passes -9.85)                1.2s/lig ETA 120.0m
[177/6389] BRD-K60427831-001-01-0 -9.40 (passes -9.40)                1.2s/lig ETA 123.3m
[178/6389] BRD-K33059059-001-02-9 -7.97 (passes -7.97)                1.2s/lig ETA 123.6m
[179/6389] BRD-K99308908-001-02-9 -9.19 (passes -9.19)                1.2s/lig ETA 123.7m
