compounds=6389  already_done=193  todo=6196
receptor=receptor.pdbqt  exhaustiveness_schedule=[8]  base_seed=42
workers=8  cpu/worker=2  (cpu_total=16)
[161/6196] BRD-K60102752-001-02-2 -7.75 (passes -7.75)                2.3s/lig ETA 227.1m
[162/6196] BRD-K00004709-001-01-9 -6.91 (passes -6.91)                2.2s/lig ETA 225.7m
[163/6196] BRD-K01827280-046-12-9 -4.24 (passes -4.24)                2.2s/lig ETA 224.9m
[164/6196] BRD-K01826519-003-08-9 -8.04 (passes -8.04)                2.2s/lig ETA 226.0m
[165/6196] BRD-K73191876-001-12-0 -9.73 (passes -9.73)                2.2s/lig ETA 225.6m
[166/6196] BRD-A96407378-001-15-1 -5.88 (passes -5.88)                2.2s/lig ETA 225.3m
[167/6196] BRD-K00003607-003-01-9 -8.85 (passes -8.85)                2.2s/lig ETA 224.1m
[168/6196] BRD-A60402836-001-01-0 -4.64 (passes -4.64)                2.2s/lig ETA 224.2m
[169/6196] BRD-K00004728-001-01-9 -8.29 (passes -8.29)                2.2s/lig ETA 224.4m
[170/6196] BRD-K12872829-001-01-0 -8.66 (passes -8.66)                2.2s/lig ETA 223.7m
[171/6196] BRD-K75295174-001-05-0 -8.72 (passes -8.72)                2.2s/lig ETA 222.8m
[172/6196] BRD-K67601717-001-03-8 -7.89 (passes -7.89)                2.3s/lig ETA 226.8m
[173/6196] BRD-K04851519-001-06-8 -9.17 (passes -9.17)                2.3s/lig ETA 227.1m
[174/6196] BRD-K83003151-057-03-9 -5.67 (passes -5.67)                2.3s/lig ETA 230.6m
[175/6196] BRD-K82677201-001-01-6 -7.01 (passes -7.01)                2.3s/lig ETA 229.3m
[176/6196] BRD-K96391852-001-02-8 -8.85 (passes -8.85)                2.3s/lig ETA 229.0m
[177/6196] BRD-K84810405-003-02-9 -8.06 (passes -8.06)                2.3s/lig ETA 229.8m
[178/6196] BRD-K46742498-003-12-9 -9.80 (passes -9.80)                2.3s/lig ETA 228.7m
[179/6196] BRD-K00004697-001-01-9 -8.20 (passes -8.20)                2.3s/lig ETA 229.0m
[180/6196] BRD-K02074536-001-04-9 -7.21 (passes -7.21)                2.3s/lig ETA 230.5m
